,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado,Prazo_execução_nr,Valor_Dia,preço_contratual_nr
41,"Serviços de migração do MEDICINEONE para SCLINICO CSP para a SPMS, EPE",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,103200.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Nimble Lda  (510308759),"103.200,00 €",10-12-2021,2021-11-29,30 dias,Artigo 155.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,103200.0,510308759,Nimble Lda  (510308759),30,3440.0,103200.0
42,Serviços de novos desenvolvimentos no âmbito da uniformização e harmonização dos Portais do SNS/Portal do SNS - Projeto EASY,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,170544.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NOS Comunicações, S.A. (502604751)","170.544,00 €",23-11-2021,2021-11-18,38 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,170544.0,502604751,"NOS- Comunicações, S.A (502604751)",38,4488.0,170544.0
43,Serviços de desenvolvimento aplicacional – Prescrição e Dispensa Hospitalar,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,32024.96 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","AltranPortugal, S.A. (504272179)","32.024,96 €",23-11-2021,2021-11-16,43 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,32024.96,504272179,"AltranPortugal, S.A. (504272179)",43,744.766511627907,32024.96
44,Serviços para manutenção das aplicações móveis,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,20664.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",MATCH PROFILER LDA (504642251),"20.664,00 €",23-11-2021,2021-11-16,43 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,20664.0,504642251,MATCH PROFILER LDA (504642251),43,480.5581395348837,20664.0
45,Serviços de desenvolvimento no âmbito do Sistema Integrado de Informação de Prestadores (SIIP),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,11616.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Softventure - Consultoria e Tecnologia, S.A (511252277)","11.616,00 €",23-11-2021,2021-11-15,44 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,11616.0,511252277,"Softventure - Consultoria e Tecnologia, S.A (511252277)",44,264.0,11616.0
46,Serviços de apoio à operação do Centro de Controlo e Monitorização do SNS,Concurso público,Aquisição de serviços,75122000-7,Principal,Serviços administrativos na área da saúde,57531.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Your Time - Serviços Personalizados, Lda (507524950)","57.531,00 €",23-11-2021,2021-11-16,45 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,57531.0,507524950,"Your Time - Serviços Personalizados, Lda (507524950)",45,1278.4666666666667,57531.0
47,Aquisição de reforço para uma solução de armazenamento e serviços conexos (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,348667.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",LINKCOM (505046547),"348.667,00 €",22-11-2021,2021-10-15,72 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,348667.0,505046547,LINKCOM (505046547),72,4842.597222222223,348667.0
48,Serviços  de desenvolvimento e manutenção da Plataforma GPR_SNS,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,9524.5 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Softventure - Consultoria e Tecnologia, S.A (511252277)","9.524,50 €",09-11-2021,2021-10-19,70 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,9524.5,511252277,"Softventure - Consultoria e Tecnologia, S.A (511252277)",70,136.06428571428572,9524.5
49,Serviços de manutenção do licenciamento através da subscrição do serviço SAAS da ATLASSIAN para SPMS,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,63374.3 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Xpand Solutions - Informatica e Novas Tecnologias, Lda. (503068861)","63.374,30 €",09-11-2021,2021-10-15,365 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,63374.3,503068861,"Xpand Solutions - Informatica e Novas Tecnologias, Lda. (503068861)",365,173.6282191780822,63374.3
50,"Serviços para locação de bens móveis em regime de Aluguer Operacional de Veículos (AOV) e respetivos serviços associados para a SPMS, EPE",Ajuste Direto Regime Geral,Aquisição de serviços,60100000-9,Principal,Serviços de transporte rodoviário,57296.27 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (SNCP) (509540716)","LEASE PLAN Portugal, Ldª (502167610)","57.296,27 €",09-11-2021,2021-05-20,1136 dias,"Artigo 24.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,57296.27,502167610,"LEASE PLAN Portugal, Ldª (502167610)",1136,50.43685739436619,57296.27
51,Serviços de  renovação da aquisição de licenças da plataforma Confluence | X-eHealth,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,7897.43 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Xpand Solutions - Informatica e Novas Tecnologias, Lda. (503068861)","7.897,43 €",09-11-2021,2021-10-07,365 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7897.43,503068861,"Xpand Solutions - Informatica e Novas Tecnologias, Lda. (503068861)",365,21.636794520547944,7897.43
52,AD-2021-045 AJUSTE DIRETO PARA A AQUISIÇÃO DE TUBOS DE CARTÃO COM TAMPA NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS,Ajuste Direto Regime Geral,Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,3900.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Efervescente Design e Comunicação, Lda. (506738400)","3.900,00 €",19-10-2021,2021-10-14,92 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,3900.0,506738400,"Efervescente Design e Comunicação, Lda. (506738400)",92,42.391304347826086,3900.0
53,CP-AC-2021-022 - CONCURSO PÚBLICO SEM PUBLICAÇÃO NO JORNAL OFICIAL DA UNIÃO EUROPEIA PARA AQUISIÇÃO DE TOALHETES DE ÁLCOOL ETÍLICO NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS,Concurso público,Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,10500.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Proclínica - Equipamento e Produtos Clínicos, Lda. (500222665)","10.500,00 €",19-10-2021,2021-10-15,122 dias,"Artigo 155.º, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,10500.0,500222665,"Proclínica - Equipamento e Produtos Clínicos, Lda. (500222665)",122,86.06557377049181,10500.0
54,CP-AC-2021-022 - CONCURSO PÚBLICO SEM PUBLICAÇÃO NO JORNAL OFICIAL DA UNIÃO EUROPEIA PARA AQUISIÇÃO DE TOALHETES DE ÁLCOOL ETÍLICO NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS,Concurso público,Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,8940.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Diprolar - Distribuição de Produtos para o Lar, Lda. (501534610)","8.940,00 €",19-10-2021,2021-10-13,122 dias,"Artigo 155.º, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,8940.0,501534610,"Diprolar - Distribuição de Produtos para o Lar, Lda. (501534610)",122,73.27868852459017,8940.0
55,Serviços de manutenção corretiva e evolutiva da Plataforma GPFMS.,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,8435.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","CLARANET II SOLUTIONS, S.A. (510728189)","8.435,00 €",07-10-2021,2021-09-29,88 dias,"Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,8435.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)",88,95.85227272727273,8435.0
56,Serviços para desenvolvimento e implementação da residência farmacêutica,Consulta Prévia,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,75000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",OUTSYSTEMS - Software em Rede S.A.  (504995634),"75.000,00 €",07-10-2021,2021-09-29,88 dias,"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,75000.0,504995634,"OutSystems - Software em Rede, S.A. (504995634)",88,852.2727272727273,75000.0
57,Aquisição de Licenciamento para a plataforma SIFGC,Ajuste Direto Regime Geral,Aquisição de bens móveis,48100000-9,Principal,Pacote de software para sectores específicos,14500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",OUTSYSTEMS - Software em Rede S.A.  (504995634),"14.500,00 €",07-10-2021,2021-09-15,105 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,14500.0,504995634,"OutSystems - Software em Rede, S.A. (504995634)",105,138.0952380952381,14500.0
58,Serviços de produção de materiais de apoio e branding SPMS,Ajuste Direto Regime Geral,Aquisição de bens móveis,30192700-8,Principal,Artigos de papelaria,14950.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",Dynamic Place Lda (513361707),"14.950,00 €",07-10-2021,2021-09-29,88 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,14950.0,513361707,Dynamic Place Lda (513361707),88,169.88636363636363,14950.0
59,"Serviços de desenvolvimento, manutenção e suporte do módulo de faturação da aplicação SONHO - Versão 1 e 2",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,260934.08 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","AltranPortugal, S.A. (504272179)","260.934,08 €",07-10-2021,2021-09-20,99 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,260934.08,504272179,"AltranPortugal, S.A. (504272179)",99,2635.6977777777774,260934.08
60,Serviços de desenvolvimento e apoio técnico ao redimensionamento de campos de sequências do SONHO V2 e SClínico Hospitalar,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,256500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","TIMESTAMP – Sistemas de Informação, S.A (506360237)","256.500,00 €",07-10-2021,2021-09-29,88 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,256500.0,506360237,"Timestamp - Sistemas de Informação, S.A. (506360237)",88,2914.7727272727275,256500.0
61,Serviços de Call Center e suporte de 1ª Linha 24*7,Concurso público,Aquisição de serviços,75112000-4,Principal,Serviços administrativos relacionados com actividades comerciais,144906.72 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Egor Outsourcing (504136992),"144.906,72 €",07-10-2021,2021-09-20,99 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,144906.72,504136992,Egor Outsourcing (504136992),99,1463.7042424242425,144906.72
62,Aquisição de ROLL UPS | SNS24 Balcão,Concurso público,Aquisição de bens móveis,22462000-6,Principal,Material publicitário,48000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","brinde & companhia, Carmen Farncsico, Lda (504807854)","48.000,00 €",07-10-2021,2021-09-29,88 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,48000.0,504807854,"brinde & companhia, Carmen Farncsico, Lda (504807854)",88,545.4545454545455,48000.0
63,Concurso Público Simplificado sem Publicidade Internacional para aquisição de sistema de acessos remotos - concentradores VPN (Lei 30/2021) (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,20769.74 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","WARPCOM SERVICES, SA (505134195)","20.769,74 €",06-10-2021,2021-09-29,88 dias,"Artigo 2.º, alínea a), da Lei n.º 30/2021, de 21.05",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,20769.74,505134195,"WARPCOM SERVICES, SA (505134195)",88,236.01977272727274,20769.74
64,Serviços de manutenção corretiva e evolutiva para o sistema SIIMA Rastreios,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,382907.25 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","First Solution, Sistemas informação, SA (505345978)","382.907,25 €",16-09-2021,2021-08-24,128 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,382907.25,505345978,"First Solution, Sistemas informação, SA (505345978)",128,2991.462890625,382907.25
65,Serviços de manutenção evolutiva na área da transparência,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,89760.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","CLARANET TALENT, SA (515777048)","89.760,00 €",16-09-2021,2021-08-24,127 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,89760.0,515777048,"Claranet Talent, S.A. (515777048)",127,706.7716535433071,89760.0
66,Serviços de apoio de gestão e custódia documental,Ajuste Direto Regime Geral,Aquisição de serviços,79995100-6,Principal,Serviços de arquivo,294000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Safebox - Gestão e Custódia de Arquivos, SA (506360717)","294.000,00 €",16-09-2021,2021-08-24,127 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,294000.0,506360717,"Safebox - Gestão e Custódia de Arquivos, SA (506360717)",127,2314.9606299212596,294000.0
67,Serviços de consultoria funcional e desenvolvimento em projetos Europeus - UNICOM,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,23293.4 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",Aubay Portugal S.A. (510830536),"23.293,40 €",16-09-2021,2021-08-16,135 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,23293.4,510830536,Aubay Portugal S.A. (510830536),135,172.54370370370373,23293.4
68,"AD-2021-040- AJUSTE DIRETO PARA A AQUISIÇÃO DE AGULHAS HIPODÉRMICAS 23G X 1 (0,6MMX25MM) E SERINGAS 2 CORPOS 2ML LUER.NO ÂMBITO DO PROGRAMA TROCA DE SERINGAS",Ajuste Direto Regime Geral,Aquisição de bens móveis,33100000-1,Principal,Equipamento médico,1390.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","BATIST MEDICAL PORTUGAL UNIP., LDA (DOCWORLD) (508592909)","1.390,00 €",16-09-2021,2021-09-15,106 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,1390.0,DOCWORLD,"BATIST MEDICAL PORTUGAL UNIP., LDA (DOCWORLD) (508592909)",106,13.11320754716981,1390.0
69,Serviços de consultoria para elaboração de Business Case,Ajuste Direto Regime Geral,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,19500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","BEA Assessoria Estratégia, Sociedade Unipessoal Limitada (514728132)","19.500,00 €",02-09-2021,2021-08-10,140 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19500.0,514728132,"BEA Assessoria Estratégia, Sociedade Unipessoal Limitada (514728132)",140,139.28571428571428,19500.0
70,Serviços de consultoria para análise de modelo de custeio,Ajuste Direto Regime Geral,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,19500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Azimute Real Lda (514040890),"19.500,00 €",02-09-2021,2021-08-09,141 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19500.0,514040890,Azimute Real Lda (514040890),141,138.29787234042553,19500.0
